,Pos,Old,Old.R,Old.Pot,New,New.R,New.Pot,Paid
0,GK,Alisson Ramses Becker,87.0,91.0,Alisson Ramses Becker,87.0,91.0,0.0
1,RB,Trent Alexander-Arnold,80.0,89.0,Trent Alexander-Arnold,80.0,89.0,0.0
2,RCB,Joel Matip,81.0,83.0,Matthijs de Ligt,85.0,93.0,44000000.0
3,LCB,Virgil van Dijk,89.0,91.0,Virgil van Dijk,89.0,91.0,0.0
4,LB,Andrew Robertson,83.0,88.0,Andrew Robertson,83.0,88.0,0.0
5,CDM,Fábio Henrique Tavares,85.0,89.0,Fábio Henrique Tavares,85.0,89.0,0.0
6,RCM,Jordan Henderson,82.0,82.0,Arthur Henrique Ramos Oliveira Melo,83.0,90.0,36000000.0
7,LCM,Georginio Wijnaldum,83.0,83.0,Georginio Wijnaldum,83.0,83.0,0.0
8,CF,Roberto Firmino Barbosa de Oliveira,86.0,87.0,Roberto Firmino Barbosa de Oliveira,86.0,87.0,0.0
9,RW,Mohamed Salah,89.0,90.0,Mohamed Salah,89.0,90.0,0.0
10,LW,Sadio Mané,87.0,87.0,Sadio Mané,87.0,87.0,0.0
11,,,932.0,960.0,,937.0,978.0,80000000.0
